Segmentation 0
248 404 15 
249 403 15 
250 403 15 
251 403 15 
252 403 15 
253 402 15 
254 401 15 
255 400 15 
255 399 15 
256 398 15 
256 397 15 
257 396 15 
257 395 15 
258 394 15 
259 393 15 
260 392 15 
260 391 15 
260 390 15 
261 389 15 
261 388 15 
261 387 15 
262 387 15 
263 388 15 
264 388 15 
265 387 15 
266 387 15 
267 387 15 
268 386 15 
269 385 15 
269 384 15 
268 383 15 
268 382 15 
268 381 15 
268 380 15 
268 379 15 
267 378 15 
266 378 15 
265 377 15 
264 376 15 
263 376 15 
262 377 15 
261 378 15 
260 378 15 
259 379 15 
258 379 15 
257 378 15 
256 378 15 
255 378 15 
254 378 15 
253 379 15 
252 379 15 
251 379 15 
250 378 15 
249 378 15 
248 377 15 
247 377 15 
246 377 15 
245 377 15 
244 378 15 
244 379 15 
244 380 15 
244 381 15 
243 382 15 
243 383 15 
243 384 15 
243 385 15 
244 386 15 
245 387 15 
246 387 15 
247 387 15 
248 388 15 
249 389 15 
249 390 15 
249 391 15 
249 392 15 
249 393 15 
248 394 15 
247 394 15 
246 394 15 
245 395 15 
244 396 15 
244 397 15 
244 398 15 
244 399 15 
244 400 15 
244 401 15 
244 402 15 
245 403 15 
246 404 15 
247 404 15 
248 404 15 
V
Segmentation 1
171 418 15 
172 417 15 
172 416 15 
173 415 15 
173 414 15 
174 413 15 
174 412 15 
174 411 15 
174 410 15 
175 410 15 
176 409 15 
177 408 15 
177 407 15 
178 406 15 
178 405 15 
178 404 15 
178 403 15 
178 402 15 
177 401 15 
176 401 15 
175 401 15 
174 401 15 
173 400 15 
172 399 15 
172 398 15 
172 397 15 
173 396 15 
174 395 15 
175 394 15 
176 393 15 
176 392 15 
175 391 15 
175 390 15 
175 389 15 
174 388 15 
173 387 15 
172 387 15 
171 387 15 
170 387 15 
169 387 15 
168 388 15 
167 389 15 
166 390 15 
166 391 15 
165 392 15 
164 392 15 
163 392 15 
162 392 15 
161 393 15 
160 393 15 
159 394 15 
158 394 15 
157 395 15 
157 396 15 
158 397 15 
158 398 15 
158 399 15 
158 400 15 
159 401 15 
159 402 15 
158 403 15 
158 404 15 
157 405 15 
157 406 15 
157 407 15 
157 408 15 
157 409 15 
157 410 15 
158 411 15 
159 411 15 
160 411 15 
161 411 15 
162 411 15 
163 412 15 
164 413 15 
164 414 15 
164 415 15 
165 416 15 
166 417 15 
167 418 15 
168 418 15 
169 418 15 
170 418 15 
171 418 15 
V
