Segmentation 0
193 197 13 
194 196 13 
195 195 13 
196 194 13 
197 193 13 
198 192 13 
198 191 13 
199 191 13 
200 192 13 
200 193 13 
201 194 13 
202 193 13 
203 192 13 
203 191 13 
204 190 13 
204 189 13 
204 188 13 
203 187 13 
202 186 13 
202 185 13 
201 184 13 
200 183 13 
199 182 13 
198 183 13 
197 183 13 
196 184 13 
195 183 13 
195 182 13 
195 181 13 
194 180 13 
194 179 13 
193 178 13 
192 177 13 
191 177 13 
190 177 13 
189 178 13 
189 179 13 
188 180 13 
188 181 13 
188 182 13 
189 183 13 
189 184 13 
189 185 13 
189 186 13 
190 187 13 
190 188 13 
190 189 13 
190 190 13 
189 191 13 
189 192 13 
188 193 13 
188 194 13 
189 195 13 
190 196 13 
191 197 13 
192 197 13 
193 197 13 
V
Segmentation 0
255 203 14 
256 202 14 
257 201 14 
258 201 14 
259 200 14 
260 200 14 
261 199 14 
261 198 14 
261 197 14 
261 196 14 
261 195 14 
262 194 14 
262 193 14 
262 192 14 
262 191 14 
262 190 14 
262 189 14 
263 188 14 
263 187 14 
264 186 14 
264 185 14 
264 184 14 
265 184 14 
266 184 14 
267 183 14 
267 182 14 
267 181 14 
267 180 14 
267 179 14 
267 178 14 
266 177 14 
266 176 14 
265 175 14 
264 174 14 
263 174 14 
262 175 14 
261 176 14 
260 176 14 
259 177 14 
258 177 14 
257 178 14 
256 177 14 
255 176 14 
254 176 14 
253 176 14 
252 176 14 
251 176 14 
250 176 14 
249 177 14 
248 178 14 
248 179 14 
248 180 14 
248 181 14 
248 182 14 
248 183 14 
248 184 14 
249 185 14 
250 186 14 
251 187 14 
252 187 14 
253 187 14 
253 188 14 
253 189 14 
253 190 14 
253 191 14 
253 192 14 
252 193 14 
251 194 14 
250 195 14 
249 196 14 
248 197 14 
248 198 14 
249 199 14 
250 200 14 
250 201 14 
251 202 14 
252 203 14 
253 203 14 
254 203 14 
255 203 14 
V
Segmentation 1
198 202 14 
199 201 14 
200 200 14 
201 199 14 
201 198 14 
201 197 14 
200 196 14 
200 195 14 
200 194 14 
200 193 14 
200 192 14 
200 191 14 
200 190 14 
199 189 14 
198 188 14 
197 187 14 
196 186 14 
196 185 14 
195 184 14 
195 183 14 
195 182 14 
194 181 14 
193 181 14 
193 180 14 
192 179 14 
192 178 14 
192 177 14 
191 176 14 
190 175 14 
189 175 14 
188 175 14 
187 175 14 
186 175 14 
185 175 14 
184 175 14 
183 175 14 
182 176 14 
181 177 14 
180 178 14 
180 179 14 
180 180 14 
180 181 14 
180 182 14 
181 183 14 
182 184 14 
183 185 14 
184 186 14 
184 187 14 
184 188 14 
184 189 14 
184 190 14 
184 191 14 
185 192 14 
185 193 14 
185 194 14 
186 195 14 
187 195 14 
188 195 14 
189 196 14 
190 196 14 
191 197 14 
192 198 14 
193 199 14 
194 199 14 
195 199 14 
196 200 14 
196 201 14 
197 202 14 
198 202 14 
V
Segmentation 2
290 317 14 
291 316 14 
291 315 14 
291 314 14 
291 313 14 
291 312 14 
292 311 14 
292 310 14 
292 309 14 
292 308 14 
291 307 14 
290 307 14 
289 306 14 
288 306 14 
287 306 14 
286 306 14 
285 307 14 
284 307 14 
283 308 14 
283 309 14 
283 310 14 
283 311 14 
283 312 14 
283 313 14 
284 314 14 
285 314 14 
286 315 14 
287 316 14 
288 317 14 
289 317 14 
290 317 14 
V
Segmentation 3
166 323 14 
167 322 14 
168 322 14 
169 321 14 
170 321 14 
171 321 14 
172 322 14 
173 322 14 
174 321 14 
174 320 14 
174 319 14 
174 318 14 
174 317 14 
174 316 14 
174 315 14 
173 314 14 
172 314 14 
171 313 14 
170 313 14 
169 314 14 
168 314 14 
167 315 14 
166 315 14 
165 316 14 
164 317 14 
164 318 14 
164 319 14 
164 320 14 
164 321 14 
164 322 14 
165 323 14 
166 323 14 
V
Segmentation 4
261 399 14 
262 398 14 
263 398 14 
264 398 14 
265 397 14 
266 397 14 
267 396 14 
267 395 14 
266 394 14 
266 393 14 
266 392 14 
266 391 14 
266 390 14 
265 389 14 
264 388 14 
263 388 14 
262 387 14 
261 387 14 
260 388 14 
259 389 14 
258 389 14 
257 389 14 
256 389 14 
255 389 14 
254 390 14 
253 391 14 
252 392 14 
253 393 14 
254 394 14 
255 395 14 
256 396 14 
257 397 14 
258 398 14 
259 399 14 
260 399 14 
261 399 14 
V
Segmentation 0
274 160 15 
275 159 15 
276 159 15 
277 159 15 
278 158 15 
279 157 15 
279 156 15 
280 155 15 
280 154 15 
280 153 15 
280 152 15 
279 151 15 
278 150 15 
277 150 15 
276 149 15 
275 149 15 
274 150 15 
273 150 15 
272 151 15 
271 152 15 
270 153 15 
269 154 15 
270 155 15 
270 156 15 
271 157 15 
271 158 15 
271 159 15 
272 160 15 
273 160 15 
274 160 15 
V
Segmentation 1
243 197 15 
244 196 15 
245 196 15 
246 195 15 
247 194 15 
248 193 15 
249 192 15 
250 191 15 
251 190 15 
252 189 15 
253 188 15 
254 187 15 
255 186 15 
256 185 15 
257 185 15 
257 186 15 
258 187 15 
257 188 15 
258 189 15 
258 190 15 
257 191 15 
258 192 15 
259 193 15 
260 193 15 
261 193 15 
262 193 15 
263 192 15 
264 191 15 
264 190 15 
264 189 15 
265 188 15 
265 187 15 
265 186 15 
266 185 15 
267 185 15 
268 185 15 
269 184 15 
269 183 15 
269 182 15 
269 181 15 
269 180 15 
270 179 15 
270 178 15 
269 177 15 
268 176 15 
267 176 15 
266 176 15 
265 175 15 
264 175 15 
263 175 15 
262 175 15 
262 174 15 
262 173 15 
262 172 15 
262 171 15 
262 170 15 
262 169 15 
261 168 15 
260 168 15 
259 167 15 
258 167 15 
257 167 15 
256 168 15 
255 168 15 
254 168 15 
253 168 15 
252 169 15 
252 170 15 
251 171 15 
252 172 15 
252 173 15 
253 174 15 
254 175 15 
255 176 15 
255 177 15 
256 178 15 
256 179 15 
256 180 15 
255 181 15 
254 181 15 
253 181 15 
252 181 15 
251 181 15 
250 181 15 
249 181 15 
248 182 15 
247 183 15 
247 184 15 
246 185 15 
245 186 15 
244 186 15 
243 186 15 
242 186 15 
241 186 15 
240 187 15 
239 187 15 
238 188 15 
238 189 15 
237 190 15 
237 191 15 
237 192 15 
238 193 15 
239 194 15 
240 195 15 
241 196 15 
242 197 15 
243 197 15 
V
Segmentation 2
202 195 15 
203 194 15 
204 193 15 
205 192 15 
206 191 15 
207 190 15 
207 189 15 
206 188 15 
205 187 15 
204 186 15 
203 185 15 
202 184 15 
201 184 15 
200 185 15 
199 185 15 
198 185 15 
197 186 15 
196 186 15 
195 186 15 
195 185 15 
195 184 15 
194 183 15 
194 182 15 
194 181 15 
194 180 15 
194 179 15 
193 178 15 
192 178 15 
191 177 15 
190 176 15 
189 176 15 
188 177 15 
187 177 15 
186 177 15 
185 177 15 
184 176 15 
183 175 15 
182 175 15 
181 175 15 
180 175 15 
179 175 15 
178 176 15 
177 177 15 
177 178 15 
177 179 15 
177 180 15 
177 181 15 
177 182 15 
177 183 15 
177 184 15 
177 185 15 
178 186 15 
179 187 15 
180 187 15 
181 187 15 
182 187 15 
183 187 15 
184 186 15 
185 186 15 
186 187 15 
187 186 15 
188 186 15 
189 186 15 
190 186 15 
191 186 15 
192 187 15 
193 187 15 
194 188 15 
195 189 15 
196 190 15 
197 191 15 
197 192 15 
198 193 15 
199 194 15 
200 194 15 
201 195 15 
202 195 15 
V
Segmentation 3
212 243 15 
213 242 15 
214 242 15 
215 241 15 
216 240 15 
215 239 15 
215 238 15 
214 237 15 
213 236 15 
213 235 15 
212 234 15 
212 233 15 
212 232 15 
212 231 15 
212 230 15 
212 229 15 
212 228 15 
212 227 15 
212 226 15 
213 225 15 
213 224 15 
213 223 15 
213 222 15 
213 221 15 
213 220 15 
213 219 15 
213 218 15 
212 217 15 
211 217 15 
210 217 15 
209 217 15 
208 217 15 
207 218 15 
206 218 15 
205 219 15 
205 220 15 
205 221 15 
205 222 15 
205 223 15 
205 224 15 
205 225 15 
204 225 15 
203 226 15 
202 227 15 
201 228 15 
201 229 15 
201 230 15 
201 231 15 
202 232 15 
203 233 15 
204 234 15 
205 235 15 
205 236 15 
205 237 15 
205 238 15 
205 239 15 
205 240 15 
206 241 15 
207 242 15 
208 242 15 
209 243 15 
210 243 15 
211 243 15 
212 243 15 
V
Segmentation 4
243 234 15 
244 233 15 
244 232 15 
245 231 15 
245 230 15 
245 229 15 
245 228 15 
245 227 15 
245 226 15 
244 225 15 
243 224 15 
242 224 15 
241 224 15 
240 224 15 
239 224 15 
238 224 15 
237 224 15 
236 224 15 
235 225 15 
235 226 15 
235 227 15 
235 228 15 
236 229 15 
236 230 15 
236 231 15 
237 232 15 
237 233 15 
238 234 15 
239 234 15 
240 234 15 
241 234 15 
242 234 15 
243 234 15 
V
Segmentation 5
166 366 15 
167 365 15 
168 365 15 
169 364 15 
169 363 15 
169 362 15 
168 361 15 
168 360 15 
168 359 15 
167 358 15 
167 357 15 
167 356 15 
166 355 15 
166 354 15 
166 353 15 
166 352 15 
166 351 15 
166 350 15 
166 349 15 
165 348 15 
165 347 15 
165 346 15 
165 345 15 
165 344 15 
165 343 15 
165 342 15 
165 341 15 
165 340 15 
165 339 15 
166 338 15 
166 337 15 
166 336 15 
166 335 15 
166 334 15 
166 333 15 
167 332 15 
167 331 15 
167 330 15 
167 329 15 
168 328 15 
168 327 15 
168 326 15 
168 325 15 
169 324 15 
168 323 15 
167 323 15 
166 322 15 
165 322 15 
165 321 15 
165 320 15 
165 319 15 
165 318 15 
165 317 15 
165 316 15 
165 315 15 
164 314 15 
163 314 15 
162 313 15 
161 312 15 
160 313 15 
159 313 15 
158 314 15 
157 314 15 
156 315 15 
156 316 15 
156 317 15 
156 318 15 
156 319 15 
156 320 15 
156 321 15 
157 322 15 
158 323 15 
159 323 15 
160 323 15 
160 324 15 
160 325 15 
160 326 15 
160 327 15 
160 328 15 
160 329 15 
160 330 15 
159 331 15 
158 331 15 
157 332 15 
157 333 15 
157 334 15 
157 335 15 
157 336 15 
157 337 15 
157 338 15 
157 339 15 
156 340 15 
155 340 15 
154 341 15 
154 342 15 
154 343 15 
154 344 15 
154 345 15 
154 346 15 
155 347 15 
156 348 15 
157 349 15 
157 350 15 
157 351 15 
157 352 15 
157 353 15 
157 354 15 
157 355 15 
158 356 15 
159 357 15 
160 357 15 
160 358 15 
160 359 15 
160 360 15 
160 361 15 
160 362 15 
160 363 15 
160 364 15 
161 365 15 
162 365 15 
163 366 15 
164 366 15 
165 366 15 
166 366 15 
V
Segmentation 6
268 333 15 
269 332 15 
270 332 15 
271 332 15 
272 331 15 
273 330 15 
273 329 15 
273 328 15 
273 327 15 
274 327 15 
275 326 15 
276 326 15 
277 325 15 
278 325 15 
279 324 15 
279 323 15 
279 322 15 
279 321 15 
279 320 15 
279 319 15 
279 318 15 
279 317 15 
278 316 15 
277 316 15 
276 315 15 
275 314 15 
274 315 15 
273 315 15 
272 315 15 
271 316 15 
270 316 15 
269 316 15 
268 317 15 
268 318 15 
268 319 15 
268 320 15 
268 321 15 
267 322 15 
266 323 15 
265 324 15 
264 325 15 
265 326 15 
265 327 15 
265 328 15 
266 329 15 
266 330 15 
266 331 15 
267 332 15 
268 333 15 
V
Segmentation 7
286 366 15 
287 365 15 
287 364 15 
288 363 15 
288 362 15 
289 361 15 
290 361 15 
291 361 15 
292 361 15 
293 360 15 
294 359 15 
294 358 15 
295 357 15 
296 356 15 
297 355 15 
297 354 15 
297 353 15 
296 352 15 
296 351 15 
295 350 15 
294 350 15 
293 349 15 
293 348 15 
292 347 15 
292 346 15 
292 345 15 
292 344 15 
292 343 15 
292 342 15 
291 341 15 
290 341 15 
289 341 15 
288 341 15 
287 341 15 
286 342 15 
286 343 15 
286 344 15 
286 345 15 
286 346 15 
286 347 15 
286 348 15 
286 349 15 
286 350 15 
286 351 15 
286 352 15 
286 353 15 
285 354 15 
285 355 15 
285 356 15 
284 357 15 
284 358 15 
284 359 15 
284 360 15 
283 361 15 
283 362 15 
282 363 15 
282 364 15 
282 365 15 
283 366 15 
284 366 15 
285 366 15 
286 366 15 
V
Segmentation 8
166 383 15 
167 382 15 
168 382 15 
169 381 15 
170 381 15 
171 380 15 
172 380 15 
173 380 15 
174 379 15 
174 378 15 
173 377 15 
173 376 15 
173 375 15 
172 374 15 
171 373 15 
170 373 15 
169 373 15 
168 373 15 
167 373 15 
166 373 15 
165 373 15 
164 373 15 
163 373 15 
162 374 15 
162 375 15 
162 376 15 
161 377 15 
161 378 15 
161 379 15 
162 380 15 
163 381 15 
164 382 15 
165 383 15 
166 383 15 
V
Segmentation 9
192 390 15 
193 389 15 
194 389 15 
195 389 15 
196 389 15 
197 389 15 
198 389 15 
199 388 15 
199 387 15 
200 386 15 
200 385 15 
200 384 15 
199 383 15 
199 382 15 
199 381 15 
198 380 15 
197 380 15 
196 379 15 
195 379 15 
194 378 15 
193 379 15 
192 379 15 
191 380 15 
190 381 15 
189 381 15 
188 382 15 
187 383 15 
187 384 15 
188 385 15 
188 386 15 
189 387 15 
189 388 15 
190 389 15 
191 390 15 
192 390 15 
V
Segmentation 10
263 397 15 
264 396 15 
264 395 15 
265 394 15 
265 393 15 
266 392 15 
266 391 15 
267 390 15 
267 389 15 
266 388 15 
265 387 15 
264 386 15 
263 386 15 
262 386 15 
261 387 15 
260 387 15 
259 387 15 
258 388 15 
257 388 15 
256 389 15 
256 390 15 
256 391 15 
256 392 15 
256 393 15 
256 394 15 
256 395 15 
257 396 15 
258 396 15 
259 396 15 
260 397 15 
261 397 15 
262 397 15 
263 397 15 
V
Segmentation 11
190 413 15 
191 412 15 
191 411 15 
192 410 15 
193 409 15 
193 408 15 
192 407 15 
192 406 15 
192 405 15 
191 404 15 
190 403 15 
189 404 15 
188 405 15 
187 406 15 
186 406 15 
185 406 15 
185 405 15 
184 404 15 
183 404 15 
182 405 15 
181 406 15 
181 407 15 
182 408 15 
182 409 15 
183 410 15 
183 411 15 
183 412 15 
184 413 15 
185 413 15 
186 413 15 
187 413 15 
188 413 15 
189 413 15 
190 413 15 
V
Segmentation 12
271 414 15 
272 413 15 
273 412 15 
274 411 15 
275 410 15 
275 409 15 
275 408 15 
275 407 15 
275 406 15 
274 405 15 
273 405 15 
272 405 15 
271 406 15 
270 406 15 
269 406 15 
268 406 15 
267 406 15 
266 407 15 
265 408 15 
265 409 15 
265 410 15 
265 411 15 
265 412 15 
266 413 15 
267 414 15 
268 414 15 
269 414 15 
270 414 15 
271 414 15 
V
Segmentation 0
180 203 16 
181 202 16 
182 202 16 
183 201 16 
184 201 16 
185 201 16 
186 201 16 
187 200 16 
187 199 16 
188 199 16 
189 198 16 
188 197 16 
187 197 16 
187 196 16 
186 195 16 
185 194 16 
185 193 16 
185 192 16 
185 191 16 
185 190 16 
185 189 16 
186 188 16 
186 187 16 
187 186 16 
188 186 16 
189 187 16 
190 187 16 
191 187 16 
192 187 16 
193 186 16 
194 185 16 
194 184 16 
195 183 16 
195 182 16 
195 181 16 
195 180 16 
195 179 16 
194 178 16 
193 177 16 
192 177 16 
191 177 16 
190 176 16 
189 176 16 
188 177 16 
187 178 16 
186 178 16 
185 178 16 
184 178 16 
183 178 16 
182 178 16 
