Segmentation 0
151 412 9 
152 411 9 
152 410 9 
152 409 9 
151 408 9 
150 407 9 
149 406 9 
148 405 9 
147 404 9 
146 403 9 
145 403 9 
144 402 9 
143 402 9 
142 403 9 
142 404 9 
142 405 9 
143 406 9 
143 407 9 
144 408 9 
144 409 9 
144 410 9 
145 411 9 
146 411 9 
147 411 9 
148 412 9 
149 412 9 
150 412 9 
151 412 9 
V
Segmentation 0
182 427 13 
183 426 13 
184 425 13 
184 424 13 
184 423 13 
184 422 13 
184 421 13 
184 420 13 
184 419 13 
185 419 13 
186 419 13 
187 418 13 
188 418 13 
189 417 13 
189 416 13 
189 415 13 
189 414 13 
189 413 13 
190 412 13 
190 411 13 
190 410 13 
189 409 13 
188 409 13 
187 409 13 
186 409 13 
185 408 13 
185 407 13 
185 406 13 
185 405 13 
186 404 13 
186 403 13 
185 402 13 
184 401 13 
183 401 13 
182 400 13 
181 400 13 
180 400 13 
179 400 13 
178 401 13 
177 401 13 
176 401 13 
175 401 13 
174 400 13 
173 400 13 
172 400 13 
171 401 13 
170 401 13 
169 402 13 
168 403 13 
167 403 13 
166 402 13 
165 402 13 
164 401 13 
163 402 13 
162 402 13 
161 402 13 
160 403 13 
159 403 13 
158 404 13 
158 405 13 
158 406 13 
158 407 13 
158 408 13 
158 409 13 
158 410 13 
159 411 13 
160 411 13 
161 411 13 
162 412 13 
163 412 13 
164 412 13 
165 412 13 
166 412 13 
167 411 13 
168 410 13 
169 409 13 
170 410 13 
171 410 13 
172 411 13 
173 411 13 
173 412 13 
173 413 13 
173 414 13 
174 415 13 
174 416 13 
175 417 13 
174 418 13 
174 419 13 
175 420 13 
175 421 13 
175 422 13 
176 423 13 
176 424 13 
177 425 13 
178 425 13 
179 426 13 
180 427 13 
181 427 13 
182 427 13 
V
Segmentation 0
184 436 14 
185 435 14 
186 435 14 
187 435 14 
188 435 14 
189 434 14 
189 433 14 
189 432 14 
189 431 14 
189 430 14 
189 429 14 
189 428 14 
189 427 14 
189 426 14 
188 425 14 
187 424 14 
186 423 14 
185 422 14 
184 422 14 
184 421 14 
184 420 14 
184 419 14 
184 418 14 
183 417 14 
183 416 14 
183 415 14 
183 414 14 
183 413 14 
182 412 14 
182 411 14 
182 410 14 
182 409 14 
182 408 14 
182 407 14 
182 406 14 
183 405 14 
183 404 14 
184 403 14 
183 402 14 
183 401 14 
183 400 14 
182 399 14 
181 398 14 
180 398 14 
179 397 14 
178 396 14 
177 395 14 
176 395 14 
175 395 14 
174 395 14 
173 395 14 
172 395 14 
171 395 14 
170 395 14 
