Segmentation 0
221 257 11 
222 256 11 
223 255 11 
223 254 11 
223 253 11 
224 252 11 
224 251 11 
224 250 11 
224 249 11 
224 248 11 
224 247 11 
224 246 11 
223 245 11 
222 245 11 
221 245 11 
220 245 11 
219 244 11 
218 244 11 
217 245 11 
216 245 11 
215 246 11 
215 247 11 
215 248 11 
215 249 11 
215 250 11 
215 251 11 
215 252 11 
216 253 11 
217 254 11 
218 255 11 
219 256 11 
220 257 11 
221 257 11 
V
Segmentation 0
140 173 15 
141 172 15 
142 171 15 
142 170 15 
143 169 15 
144 169 15 
145 168 15 
145 167 15 
146 166 15 
147 165 15 
147 164 15 
147 163 15 
146 162 15 
145 161 15 
144 160 15 
143 160 15 
142 160 15 
141 160 15 
140 160 15 
139 160 15 
138 160 15 
137 161 15 
136 161 15 
135 162 15 
134 163 15 
134 164 15 
133 165 15 
134 166 15 
134 167 15 
135 168 15 
135 169 15 
136 170 15 
136 171 15 
137 172 15 
138 172 15 
139 173 15 
140 173 15 
V
Segmentation 1
167 194 15 
168 193 15 
169 192 15 
169 191 15 
169 190 15 
170 189 15 
170 188 15 
170 187 15 
170 186 15 
170 185 15 
169 184 15 
168 183 15 
167 182 15 
166 182 15 
165 182 15 
164 181 15 
163 181 15 
162 182 15 
162 183 15 
161 184 15 
161 185 15 
161 186 15 
160 187 15 
160 188 15 
160 189 15 
161 190 15 
162 190 15 
162 191 15 
163 192 15 
164 193 15 
165 194 15 
166 194 15 
167 194 15 
V
Segmentation 0
169 150 16 
170 149 16 
171 149 16 
172 148 16 
173 147 16 
172 146 16 
172 145 16 
171 144 16 
171 143 16 
171 142 16 
170 141 16 
169 141 16 
168 140 16 
167 140 16 
166 140 16 
165 141 16 
164 142 16 
163 143 16 
163 144 16 
163 145 16 
162 146 16 
162 147 16 
163 148 16 
164 149 16 
165 149 16 
166 150 16 
167 150 16 
168 150 16 
169 150 16 
V
Segmentation 1
144 181 16 
145 180 16 
146 179 16 
146 178 16 
146 177 16 
146 176 16 
146 175 16 
146 174 16 
146 173 16 
145 172 16 
145 171 16 
144 170 16 
143 170 16 
142 169 16 
141 169 16 
140 170 16 
139 170 16 
138 170 16 
137 171 16 
136 171 16 
135 172 16 
134 173 16 
133 174 16 
133 175 16 
133 176 16 
134 177 16 
135 178 16 
136 179 16 
137 179 16 
138 180 16 
139 180 16 
140 181 16 
141 181 16 
142 181 16 
143 181 16 
144 181 16 
V
Segmentation 0
142 198 17 
143 197 17 
144 197 17 
145 196 17 
146 196 17 
147 195 17 
148 194 17 
149 193 17 
150 192 17 
150 191 17 
150 190 17 
149 189 17 
148 188 17 
148 187 17 
147 186 17 
146 186 17 
145 186 17 
144 186 17 
143 185 17 
142 185 17 
141 185 17 
140 185 17 
139 185 17 
138 185 17 
137 185 17 
136 185 17 
135 185 17 
134 185 17 
133 185 17 
132 185 17 
131 185 17 
130 185 17 
129 185 17 
128 185 17 
127 185 17 
126 185 17 
125 185 17 
124 185 17 
123 185 17 
122 185 17 
121 186 17 
121 187 17 
121 188 17 
122 189 17 
123 190 17 
123 191 17 
124 192 17 
