Segmentation 0
288 170 15 
289 169 15 
290 169 15 
291 169 15 
292 168 15 
291 167 15 
290 167 15 
289 166 15 
288 166 15 
287 166 15 
286 166 15 
285 166 15 
284 166 15 
283 167 15 
284 168 15 
285 169 15 
286 169 15 
287 170 15 
288 170 15 
V
Segmentation 0
257 182 16 
258 181 16 
259 180 16 
260 179 16 
260 178 16 
260 177 16 
260 176 16 
259 175 16 
259 174 16 
260 173 16 
261 173 16 
262 172 16 
263 171 16 
263 170 16 
263 169 16 
262 168 16 
262 167 16 
261 166 16 
262 165 16 
262 164 16 
261 163 16 
260 164 16 
259 164 16 
258 164 16 
257 164 16 
256 164 16 
255 165 16 
254 165 16 
253 166 16 
253 167 16 
253 168 16 
253 169 16 
253 170 16 
253 171 16 
252 172 16 
251 173 16 
251 174 16 
251 175 16 
250 176 16 
250 177 16 
250 178 16 
250 179 16 
250 180 16 
251 181 16 
252 181 16 
253 181 16 
254 181 16 
255 182 16 
256 182 16 
257 182 16 
V
Segmentation 1
262 404 16 
263 403 16 
264 402 16 
265 402 16 
266 401 16 
267 400 16 
268 399 16 
268 398 16 
269 397 16 
270 397 16 
271 396 16 
272 396 16 
273 396 16 
274 396 16 
275 395 16 
276 394 16 
277 394 16 
278 394 16 
279 393 16 
279 392 16 
278 391 16 
278 390 16 
278 389 16 
278 388 16 
278 387 16 
277 386 16 
277 385 16 
277 384 16 
278 383 16 
278 382 16 
278 381 16 
279 380 16 
279 379 16 
280 379 16 
281 379 16 
282 379 16 
283 380 16 
284 380 16 
285 380 16 
286 379 16 
287 378 16 
288 377 16 
288 376 16 
289 375 16 
289 374 16 
288 373 16 
288 372 16 
289 372 16 
290 372 16 
291 371 16 
291 370 16 
292 369 16 
293 368 16 
294 367 16 
294 366 16 
294 365 16 
294 364 16 
293 363 16 
292 363 16 
291 363 16 
290 362 16 
289 361 16 
289 360 16 
289 359 16 
289 358 16 
290 357 16 
291 356 16 
291 355 16 
292 354 16 
292 353 16 
292 352 16 
292 351 16 
292 350 16 
293 349 16 
294 348 16 
294 347 16 
294 346 16 
294 345 16 
294 344 16 
294 343 16 
295 342 16 
295 341 16 
296 340 16 
296 339 16 
297 338 16 
297 337 16 
297 336 16 
297 335 16 
297 334 16 
297 333 16 
298 332 16 
299 332 16 
300 331 16 
301 331 16 
302 330 16 
302 329 16 
302 328 16 
302 327 16 
302 326 16 
302 325 16 
302 324 16 
301 323 16 
300 322 16 
299 322 16 
299 321 16 
298 320 16 
297 320 16 
296 320 16 
295 321 16 
295 322 16 
295 323 16 
295 324 16 
294 325 16 
294 326 16 
294 327 16 
294 328 16 
294 329 16 
293 330 16 
293 331 16 
293 332 16 
293 333 16 
292 334 16 
292 335 16 
292 336 16 
291 337 16 
291 338 16 
291 339 16 
290 340 16 
290 341 16 
290 342 16 
289 343 16 
289 344 16 
288 345 16 
287 346 16 
286 347 16 
285 347 16 
284 347 16 
283 346 16 
282 345 16 
281 344 16 
280 343 16 
279 343 16 
278 343 16 
277 343 16 
276 344 16 
275 345 16 
275 346 16 
274 347 16 
275 348 16 
275 349 16 
275 350 16 
276 351 16 
276 352 16 
275 353 16 
274 354 16 
273 354 16 
272 355 16 
271 355 16 
270 356 16 
270 357 16 
270 358 16 
270 359 16 
270 360 16 
270 361 16 
269 361 16 
268 362 16 
267 363 16 
266 362 16 
265 362 16 
264 362 16 
263 361 16 
262 361 16 
261 362 16 
260 363 16 
260 364 16 
259 365 16 
259 366 16 
259 367 16 
259 368 16 
258 369 16 
257 369 16 
256 369 16 
255 369 16 
254 369 16 
253 369 16 
252 370 16 
251 371 16 
251 372 16 
252 373 16 
252 374 16 
252 375 16 
252 376 16 
252 377 16 
252 378 16 
252 379 16 
252 380 16 
252 381 16 
252 382 16 
252 383 16 
252 384 16 
252 385 16 
251 386 16 
250 386 16 
249 387 16 
248 387 16 
247 388 16 
247 389 16 
247 390 16 
247 391 16 
247 392 16 
247 393 16 
248 394 16 
249 394 16 
250 395 16 
251 395 16 
251 396 16 
251 397 16 
251 398 16 
251 399 16 
251 400 16 
251 401 16 
250 402 16 
251 403 16 
252 403 16 
253 404 16 
