Segmentation 0
275 179 19 
276 178 19 
277 178 19 
278 178 19 
279 178 19 
280 177 19 
280 176 19 
280 175 19 
281 174 19 
281 173 19 
280 172 19 
280 171 19 
280 170 19 
279 169 19 
278 168 19 
279 167 19 
280 166 19 
280 165 19 
280 164 19 
279 163 19 
278 162 19 
277 163 19 
276 163 19 
275 162 19 
274 162 19 
273 162 19 
272 162 19 
271 163 19 
270 163 19 
269 164 19 
269 165 19 
268 165 19 
267 166 19 
268 167 19 
269 167 19 
270 168 19 
270 169 19 
271 170 19 
271 171 19 
271 172 19 
271 173 19 
271 174 19 
270 175 19 
271 176 19 
271 177 19 
272 178 19 
273 178 19 
274 178 19 
275 179 19 
V
Segmentation 0
284 262 22 
285 261 22 
286 260 22 
287 259 22 
288 259 22 
289 258 22 
289 257 22 
289 256 22 
289 255 22 
289 254 22 
288 253 22 
287 252 22 
286 251 22 
285 251 22 
284 251 22 
283 251 22 
282 250 22 
281 250 22 
280 249 22 
279 249 22 
278 248 22 
277 248 22 
276 249 22 
276 250 22 
275 251 22 
274 252 22 
273 253 22 
273 254 22 
274 255 22 
275 256 22 
276 257 22 
277 258 22 
277 259 22 
277 260 22 
278 261 22 
279 261 22 
280 262 22 
281 262 22 
282 262 22 
283 262 22 
284 262 22 
V
Segmentation 0
182 221 24 
183 220 24 
184 219 24 
184 218 24 
184 217 24 
184 216 24 
184 215 24 
184 214 24 
183 213 24 
182 212 24 
181 212 24 
180 212 24 
179 213 24 
178 214 24 
177 215 24 
177 216 24 
177 217 24 
178 218 24 
179 219 24 
180 220 24 
181 221 24 
182 221 24 
V
Segmentation 0
183 285 25 
184 284 25 
185 284 25 
186 283 25 
187 283 25 
188 284 25 
189 283 25 
190 282 25 
191 282 25 
192 281 25 
193 280 25 
193 279 25 
193 278 25 
194 277 25 
194 276 25 
193 275 25 
192 275 25 
191 274 25 
190 274 25 
189 273 25 
188 273 25 
187 273 25 
186 274 25 
185 275 25 
184 275 25 
183 275 25 
182 275 25 
181 275 25 
180 275 25 
179 276 25 
178 277 25 
177 277 25 
176 278 25 
176 279 25 
176 280 25 
176 281 25 
176 282 25 
177 283 25 
178 284 25 
179 285 25 
180 285 25 
181 285 25 
182 285 25 
183 285 25 
V
